LAD13CD,LAD13CDO,LAD13NM,NUTS315CD,NUTS315NM,NUTS215CD,NUTS215NM,NUT115CD,NUTS115NM,FID
E07000181,38UF,West Oxfordshire,UKJ14,Oxfordshire,UKJ1,"Berkshire, Buckinghamshire and Oxfordshire",UKJ,South East (England),204
E07000187,40UB,Mendip,UKK23,Somerset,UKK2,Dorset and Somerset,UKK,South West (England),205
E07000188,40UC,Sedgemoor,UKK23,Somerset,UKK2,Dorset and Somerset,UKK,South West (England),206
E07000189,40UD,South Somerset,UKK23,Somerset,UKK2,Dorset and Somerset,UKK,South West (England),207
E07000190,40UE,Taunton Deane,UKK23,Somerset,UKK2,Dorset and Somerset,UKK,South West (England),208
E07000191,40UF,West Somerset,UKK23,Somerset,UKK2,Dorset and Somerset,UKK,South West (England),209
E07000192,41UB,Cannock Chase,UKG24,Staffordshire CC,UKG2,Shropshire and Staffordshire,UKG,West Midlands (England),210
E07000193,41UC,East Staffordshire,UKG24,Staffordshire CC,UKG2,Shropshire and Staffordshire,UKG,West Midlands (England),211
E07000194,41UD,Lichfield,UKG24,Staffordshire CC,UKG2,Shropshire and Staffordshire,UKG,West Midlands (England),212
E07000195,41UE,Newcastle-under-Lyme,UKG24,Staffordshire CC,UKG2,Shropshire and Staffordshire,UKG,West Midlands (England),213
E07000196,41UF,South Staffordshire,UKG24,Staffordshire CC,UKG2,Shropshire and Staffordshire,UKG,West Midlands (England),214
E07000197,41UG,Stafford,UKG24,Staffordshire CC,UKG2,Shropshire and Staffordshire,UKG,West Midlands (England),215
E07000198,41UH,Staffordshire Moorlands,UKG24,Staffordshire CC,UKG2,Shropshire and Staffordshire,UKG,West Midlands (England),216
E07000199,41UK,Tamworth,UKG24,Staffordshire CC,UKG2,Shropshire and Staffordshire,UKG,West Midlands (England),217
E07000200,42UB,Babergh,UKH14,Suffolk,UKH1,East Anglia,UKH,East of England,218
E07000201,42UC,Forest Heath,UKH14,Suffolk,UKH1,East Anglia,UKH,East of England,219
E07000202,42UD,Ipswich,UKH14,Suffolk,UKH1,East Anglia,UKH,East of England,220
E07000203,42UE,Mid Suffolk,UKH14,Suffolk,UKH1,East Anglia,UKH,East of England,221
E07000204,42UF,St Edmundsbury,UKH14,Suffolk,UKH1,East Anglia,UKH,East of England,222
E07000205,42UG,Suffolk Coastal,UKH14,Suffolk,UKH1,East Anglia,UKH,East of England,223
E07000206,42UH,Waveney,UKH14,Suffolk,UKH1,East Anglia,UKH,East of England,224
E07000207,43UB,Elmbridge,UKJ25,West Surrey,UKJ2,"Surrey, East and West Sussex",UKJ,South East (England),225
E07000208,43UC,Epsom and Ewell,UKJ26,East Surrey,UKJ2,"Surrey, East and West Sussex",UKJ,South East (England),226
E07000209,43UD,Guildford,UKJ25,West Surrey,UKJ2,"Surrey, East and West Sussex",UKJ,South East (England),227
E07000210,43UE,Mole Valley,UKJ26,East Surrey,UKJ2,"Surrey, East and West Sussex",UKJ,South East (England),228
E07000211,43UF,Reigate and Banstead,UKJ26,East Surrey,UKJ2,"Surrey, East and West Sussex",UKJ,South East (England),229
E07000212,43UG,Runnymede,UKJ25,West Surrey,UKJ2,"Surrey, East and West Sussex",UKJ,South East (England),230
E07000213,43UH,Spelthorne,UKJ25,West Surrey,UKJ2,"Surrey, East and West Sussex",UKJ,South East (England),231
